---------------------------------------------------------------------------------------
                    RDMA_Write Latency Test
 Dual-port       : OFF		Device         : [DEV]
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: OFF
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 220[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x3bc9 PSN 0xaeecb6
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
 remote address: LID 0000 QPN 0x3cf2 PSN 0x262d74
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          19.69          38.58        20.14    	       20.15       	0.14   		20.49   		38.58  
 4       1000          19.75          22.02        20.14    	       20.14       	0.14   		20.49   		22.02  
 8       1000          19.75          22.09        20.13    	       20.14       	0.17   		20.49   		22.09  
 16      1000          19.79          20.63        20.14    	       20.15       	0.12   		20.46   		20.63  
 32      1000          19.84          21.13        20.18    	       20.19       	0.12   		20.51   		21.13  
 64      1000          19.83          21.21        20.18    	       20.19       	0.12   		20.48   		21.21  
 128     1000          19.98          21.52        20.37    	       20.38       	0.16   		20.77   		21.52  
 256     1000          20.42          22.75        20.74    	       20.76       	0.16   		21.16   		22.75  
 512     1000          20.55          21.28        20.90    	       20.91       	0.12   		21.21   		21.28  
 1024    1000          20.65          25.68        21.01    	       21.03       	0.22   		22.16   		25.68  
 2048    1000          20.90          23.03        21.20    	       21.21       	0.15   		21.59   		23.03  
 4096    1000          21.01          22.23        21.35    	       21.37       	0.15   		21.78   		22.23  
 8192    1000          34.24          35.07        34.60    	       34.60       	0.14   		34.93   		35.07  
 16384   1000          34.56          35.89        34.98    	       34.99       	0.15   		35.38   		35.89  
 32768   1000          35.23          36.27        35.72    	       35.73       	0.15   		36.11   		36.27  
 65536   1000          50.18          52.41        51.18    	       51.16       	0.30   		51.83   		52.41  
 131072  1000          65.96          70.40        67.89    	       67.80       	0.64   		69.19   		70.40  
 262144  1000          106.88         116.04       109.73   	       110.76      	2.07   		115.53  		116.04 
 524288  1000          193.75         204.62       198.51   	       198.60      	1.62   		203.49  		204.62 
 1048576 1000          363.86         379.00       371.46   	       371.65      	2.28   		377.88  		379.00 
 2097152 1000          703.86         719.01       711.45   	       711.66      	2.48   		717.76  		719.01 
 4194304 1000          1384.27        3751.00      1418.14  	       1527.92     	210.29 		1927.65 		3751.00
 8388608 1000          2747.30        6536.25      2907.06  	       2987.71     	245.55 		4141.63 		6536.25
---------------------------------------------------------------------------------------
