---------------------------------------------------------------------------------------
                    RDMA_Write Latency Test
 Dual-port       : OFF		Device         : [DEV]
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: OFF
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 220[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0292 PSN 0x3c303f
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
 remote address: LID 0000 QPN 0x03bb PSN 0x32a57e
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.00           8.65         4.10     	       4.11        	0.16   		4.34    		8.65   
 4       1000          4.03           4.66         4.10     	       4.10        	0.03   		4.15    		4.66   
 8       1000          3.99           6.03         4.10     	       4.11        	0.09   		4.17    		6.03   
 16      1000          4.04           5.27         4.11     	       4.11        	0.06   		4.18    		5.27   
 32      1000          4.07           5.36         4.15     	       4.15        	0.03   		4.22    		5.36   
 64      1000          4.07           5.76         4.15     	       4.15        	0.06   		4.20    		5.76   
 128     1000          4.16           5.79         4.36     	       4.33        	0.11   		4.48    		5.79   
 256     1000          4.59           6.15         4.69     	       4.71        	0.08   		5.03    		6.15   
 512     1000          4.69           6.08         4.81     	       4.82        	0.06   		5.02    		6.08   
 1024    1000          4.84           5.16         4.92     	       4.95        	0.07   		5.14    		5.16   
 2048    1000          4.93           6.23         5.01     	       5.07        	0.12   		5.34    		6.23   
 4096    1000          5.08           9.46         5.19     	       5.21        	0.09   		5.53    		9.46   
 8192    1000          6.92           8.58         7.08     	       7.09        	0.12   		7.38    		8.58   
 16384   1000          7.40           9.54         7.57     	       7.57        	0.12   		7.95    		9.54   
 32768   1000          8.54           9.79         8.69     	       8.70        	0.10   		8.93    		9.79   
 65536   1000          11.19          12.65        11.42    	       11.42       	0.11   		11.64   		12.65  
 131072  1000          16.80          18.52        16.96    	       16.99       	0.12   		17.39   		18.52  
 262144  1000          28.71          29.83        28.90    	       28.91       	0.11   		29.18   		29.83  
 524288  1000          52.50          53.81        52.75    	       52.76       	0.11   		53.01   		53.81  
 1048576 1000          100.31         102.55       101.14   	       101.13      	0.28   		101.67  		102.55 
 2097152 1000          195.95         198.64       196.94   	       196.98      	0.44   		197.89  		198.64 
 4194304 1000          387.28         390.85       389.14   	       389.05      	0.52   		390.13  		390.85 
 8388608 1000          769.02         775.18       772.43   	       772.39      	0.94   		774.20  		775.18 
---------------------------------------------------------------------------------------
