---------------------------------------------------------------------------------------
                    Send Latency Test
 Dual-port       : OFF		Device         : [DEV]
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 236[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x028d PSN 0x91b78f
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
 remote address: LID 0000 QPN 0x03b6 PSN 0xdf2ef7
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.41           5.78         4.49     	       4.50        	0.08   		4.94    		5.78   
 4       1000          4.41           5.82         4.49     	       4.50        	0.06   		4.61    		5.82   
 8       1000          4.40           6.28         4.50     	       4.50        	0.08   		4.57    		6.28   
 16      1000          4.42           5.53         4.50     	       4.50        	0.03   		4.56    		5.53   
 32      1000          4.43           5.66         4.51     	       4.51        	0.04   		4.58    		5.66   
 64      1000          4.51           5.89         4.58     	       4.58        	0.05   		4.65    		5.89   
 128     1000          4.56           21.82        4.80     	       4.76        	0.12   		4.94    		21.82  
 256     1000          5.05           14.96        5.15     	       5.17        	0.08   		5.36    		14.96  
 512     1000          5.16           5.73         5.26     	       5.27        	0.05   		5.46    		5.73   
 1024    1000          5.26           7.02         5.35     	       5.37        	0.08   		5.56    		7.02   
 2048    1000          5.37           6.71         5.47     	       5.50        	0.10   		5.80    		6.71   
 4096    1000          5.53           9.51         5.65     	       5.69        	0.13   		5.94    		9.51   
 8192    1000          7.68           10.65        7.80     	       7.81        	0.10   		8.25    		10.65  
 16384   1000          8.16           9.52         8.33     	       8.34        	0.11   		8.58    		9.52   
 32768   1000          9.29           10.50        9.46     	       9.47        	0.10   		9.70    		10.50  
 65536   1000          12.45          28.84        12.64    	       12.65       	0.12   		12.93   		28.84  
 131072  1000          18.10          19.39        18.37    	       18.38       	0.13   		18.69   		19.39  
 262144  1000          29.54          30.97        29.89    	       29.89       	0.14   		30.29   		30.97  
 524288  1000          53.09          55.12        53.54    	       53.56       	0.19   		54.09   		55.12  
 1048576 1000          100.54         103.02       101.41   	       101.41      	0.16   		101.95  		103.02 
 2097152 1000          195.63         198.98       197.24   	       197.32      	0.58   		198.69  		198.98 
 4194304 1000          385.97         392.08       389.12   	       389.03      	0.85   		390.53  		392.08 
 8388608 1000          766.20         776.37       772.16   	       771.90      	1.22   		773.65  		776.37 
---------------------------------------------------------------------------------------
